Heatmap Analyse – Bewegungsanalyse
======================================================================
Mass-Heatmaps: 500
Charge-Heatmaps: 500

Bewegungsanalyse der Massen-Hotspots
======================================================================
  Iteration 0: 13 Hotspots
  Iteration 10: 3 Hotspots
  Iteration 20: 4 Hotspots
  Iteration 30: 9 Hotspots
  Iteration 40: 4 Hotspots
  Iteration 50: 19 Hotspots
  Iteration 60: 2 Hotspots
  Iteration 70: 6 Hotspots
  Iteration 80: 7 Hotspots
  Iteration 90: 1 Hotspots
  Iteration 100: 1 Hotspots
  Iteration 110: 8 Hotspots
  Iteration 120: 9 Hotspots
  Iteration 130: 10 Hotspots
  Iteration 140: 4 Hotspots
  Iteration 150: 11 Hotspots
  Iteration 160: 1 Hotspots
  Iteration 170: 1 Hotspots
  Iteration 180: 6 Hotspots
  Iteration 190: 4 Hotspots
  Iteration 200: 1 Hotspots
  Iteration 210: 1 Hotspots
  Iteration 220: 11 Hotspots
  Iteration 230: 7 Hotspots
  Iteration 240: 7 Hotspots
  Iteration 250: 1 Hotspots
  Iteration 260: 1 Hotspots
  Iteration 270: 2 Hotspots
  Iteration 280: 9 Hotspots
  Iteration 290: 1 Hotspots
  Iteration 300: 1 Hotspots
  Iteration 310: 7 Hotspots
  Iteration 320: 3 Hotspots
  Iteration 330: 1 Hotspots
  Iteration 340: 2 Hotspots
  Iteration 350: 1 Hotspots
  Iteration 360: 6 Hotspots
  Iteration 370: 7 Hotspots
  Iteration 380: 1 Hotspots
  Iteration 390: 1 Hotspots
  Iteration 400: 2 Hotspots
  Iteration 410: 4 Hotspots
  Iteration 420: 1 Hotspots
  Iteration 430: 1 Hotspots
  Iteration 440: 2 Hotspots
  Iteration 450: 9 Hotspots
  Iteration 460: 1 Hotspots
  Iteration 470: 1 Hotspots
  Iteration 480: 2 Hotspots
  Iteration 490: 5 Hotspots
  Iteration 500: 1 Hotspots
  Iteration 510: 1 Hotspots
  Iteration 520: 3 Hotspots
  Iteration 530: 1 Hotspots
  Iteration 540: 1 Hotspots
  Iteration 550: 1 Hotspots
  Iteration 560: 2 Hotspots
  Iteration 570: 3 Hotspots
  Iteration 580: 1 Hotspots
  Iteration 590: 1 Hotspots
  Iteration 600: 4 Hotspots
  Iteration 610: 3 Hotspots
  Iteration 620: 1 Hotspots
  Iteration 630: 1 Hotspots
  Iteration 640: 2 Hotspots
  Iteration 650: 3 Hotspots
  Iteration 660: 1 Hotspots
  Iteration 670: 1 Hotspots
  Iteration 680: 5 Hotspots
  Iteration 690: 9 Hotspots
  Iteration 700: 1 Hotspots
  Iteration 710: 1 Hotspots
  Iteration 720: 2 Hotspots
  Iteration 730: 2 Hotspots
  Iteration 740: 1 Hotspots
  Iteration 750: 1 Hotspots
  Iteration 760: 4 Hotspots
  Iteration 770: 1 Hotspots
  Iteration 780: 1 Hotspots
  Iteration 790: 1 Hotspots
  Iteration 800: 3 Hotspots
  Iteration 810: 4 Hotspots
  Iteration 820: 1 Hotspots
  Iteration 830: 1 Hotspots
  Iteration 840: 1 Hotspots
  Iteration 850: 1 Hotspots
  Iteration 860: 1 Hotspots
  Iteration 870: 1 Hotspots
  Iteration 880: 2 Hotspots
  Iteration 890: 4 Hotspots
  Iteration 900: 1 Hotspots
  Iteration 910: 1 Hotspots
  Iteration 920: 3 Hotspots
  Iteration 930: 1 Hotspots
  Iteration 940: 1 Hotspots
  Iteration 950: 1 Hotspots
  Iteration 960: 7 Hotspots
  Iteration 970: 1 Hotspots
  Iteration 980: 1 Hotspots
  Iteration 990: 1 Hotspots
  Iteration 1000: 1 Hotspots
  Iteration 1010: 1 Hotspots
  Iteration 1020: 1 Hotspots
  Iteration 1030: 4 Hotspots
  Iteration 1040: 8 Hotspots
  Iteration 1050: 1 Hotspots
  Iteration 1060: 1 Hotspots
  Iteration 1070: 1 Hotspots
  Iteration 1080: 1 Hotspots
  Iteration 1090: 1 Hotspots
  Iteration 1100: 1 Hotspots
  Iteration 1110: 1 Hotspots
  Iteration 1120: 1 Hotspots
  Iteration 1130: 1 Hotspots
  Iteration 1140: 1 Hotspots
  Iteration 1150: 5 Hotspots
  Iteration 1160: 1 Hotspots
  Iteration 1170: 1 Hotspots
  Iteration 1180: 1 Hotspots
  Iteration 1190: 1 Hotspots
  Iteration 1200: 1 Hotspots
  Iteration 1210: 1 Hotspots
  Iteration 1220: 1 Hotspots
  Iteration 1230: 3 Hotspots
  Iteration 1240: 1 Hotspots
  Iteration 1250: 1 Hotspots
  Iteration 1260: 1 Hotspots
  Iteration 1270: 1 Hotspots
  Iteration 1280: 1 Hotspots
  Iteration 1290: 1 Hotspots
  Iteration 1300: 3 Hotspots
  Iteration 1310: 1 Hotspots
  Iteration 1320: 1 Hotspots
  Iteration 1330: 1 Hotspots
  Iteration 1340: 2 Hotspots
  Iteration 1350: 1 Hotspots
  Iteration 1360: 1 Hotspots
  Iteration 1370: 1 Hotspots
  Iteration 1380: 1 Hotspots
  Iteration 1390: 1 Hotspots
  Iteration 1400: 1 Hotspots
  Iteration 1410: 1 Hotspots
  Iteration 1420: 1 Hotspots
  Iteration 1430: 1 Hotspots
  Iteration 1440: 1 Hotspots
  Iteration 1450: 1 Hotspots
  Iteration 1460: 1 Hotspots
  Iteration 1470: 1 Hotspots
  Iteration 1480: 1 Hotspots
  Iteration 1490: 1 Hotspots
  Iteration 1500: 1 Hotspots
  Iteration 1510: 1 Hotspots
  Iteration 1520: 1 Hotspots
  Iteration 1530: 1 Hotspots
  Iteration 1540: 1 Hotspots
  Iteration 1550: 1 Hotspots
  Iteration 1560: 1 Hotspots
  Iteration 1570: 2 Hotspots
  Iteration 1580: 1 Hotspots
  Iteration 1590: 1 Hotspots
  Iteration 1600: 1 Hotspots
  Iteration 1610: 1 Hotspots
  Iteration 1620: 1 Hotspots
  Iteration 1630: 1 Hotspots
  Iteration 1640: 1 Hotspots
  Iteration 1650: 4 Hotspots
  Iteration 1660: 1 Hotspots
  Iteration 1670: 1 Hotspots
  Iteration 1680: 1 Hotspots
  Iteration 1690: 1 Hotspots
  Iteration 1700: 1 Hotspots
  Iteration 1710: 1 Hotspots
  Iteration 1720: 1 Hotspots
  Iteration 1730: 1 Hotspots
  Iteration 1740: 1 Hotspots
  Iteration 1750: 1 Hotspots
  Iteration 1760: 1 Hotspots
  Iteration 1770: 1 Hotspots
  Iteration 1780: 1 Hotspots
  Iteration 1790: 1 Hotspots
  Iteration 1800: 1 Hotspots
  Iteration 1810: 1 Hotspots
  Iteration 1820: 1 Hotspots
  Iteration 1830: 1 Hotspots
  Iteration 1840: 1 Hotspots
  Iteration 1850: 1 Hotspots
  Iteration 1860: 1 Hotspots
  Iteration 1870: 1 Hotspots
  Iteration 1880: 1 Hotspots
  Iteration 1890: 1 Hotspots
  Iteration 1900: 1 Hotspots
  Iteration 1910: 1 Hotspots
  Iteration 1920: 1 Hotspots
  Iteration 1930: 1 Hotspots
  Iteration 1940: 1 Hotspots
  Iteration 1950: 1 Hotspots
  Iteration 1960: 1 Hotspots
  Iteration 1970: 1 Hotspots
  Iteration 1980: 1 Hotspots
  Iteration 1990: 1 Hotspots
  Iteration 2000: 1 Hotspots
  Iteration 2010: 1 Hotspots
  Iteration 2020: 1 Hotspots
  Iteration 2030: 1 Hotspots
  Iteration 2040: 1 Hotspots
  Iteration 2050: 1 Hotspots
  Iteration 2060: 1 Hotspots
  Iteration 2070: 1 Hotspots
  Iteration 2080: 1 Hotspots
  Iteration 2090: 1 Hotspots
  Iteration 2100: 1 Hotspots
  Iteration 2110: 1 Hotspots
  Iteration 2120: 1 Hotspots
  Iteration 2130: 1 Hotspots
  Iteration 2140: 1 Hotspots
  Iteration 2150: 1 Hotspots
  Iteration 2160: 1 Hotspots
  Iteration 2170: 1 Hotspots
  Iteration 2180: 1 Hotspots
  Iteration 2190: 1 Hotspots
  Iteration 2200: 1 Hotspots
  Iteration 2210: 1 Hotspots
  Iteration 2220: 1 Hotspots
  Iteration 2230: 1 Hotspots
  Iteration 2240: 1 Hotspots
  Iteration 2250: 1 Hotspots
  Iteration 2260: 1 Hotspots
  Iteration 2270: 1 Hotspots
  Iteration 2280: 1 Hotspots
  Iteration 2290: 1 Hotspots
  Iteration 2300: 1 Hotspots
  Iteration 2310: 1 Hotspots
  Iteration 2320: 1 Hotspots
  Iteration 2330: 1 Hotspots
  Iteration 2340: 1 Hotspots
  Iteration 2350: 1 Hotspots
  Iteration 2360: 1 Hotspots
  Iteration 2370: 1 Hotspots
  Iteration 2380: 1 Hotspots
  Iteration 2390: 1 Hotspots
  Iteration 2400: 1 Hotspots
  Iteration 2410: 1 Hotspots
  Iteration 2420: 1 Hotspots
  Iteration 2430: 1 Hotspots
  Iteration 2440: 1 Hotspots
  Iteration 2450: 1 Hotspots
  Iteration 2460: 1 Hotspots
  Iteration 2470: 1 Hotspots
  Iteration 2480: 1 Hotspots
  Iteration 2490: 1 Hotspots
  Iteration 2500: 1 Hotspots
  Iteration 2510: 1 Hotspots
  Iteration 2520: 1 Hotspots
  Iteration 2530: 1 Hotspots
  Iteration 2540: 1 Hotspots
  Iteration 2550: 1 Hotspots
  Iteration 2560: 1 Hotspots
  Iteration 2570: 1 Hotspots
  Iteration 2580: 1 Hotspots
  Iteration 2590: 1 Hotspots
  Iteration 2600: 1 Hotspots
  Iteration 2610: 1 Hotspots
  Iteration 2620: 1 Hotspots
  Iteration 2630: 1 Hotspots
  Iteration 2640: 1 Hotspots
  Iteration 2650: 1 Hotspots
  Iteration 2660: 1 Hotspots
  Iteration 2670: 1 Hotspots
  Iteration 2680: 1 Hotspots
  Iteration 2690: 1 Hotspots
  Iteration 2700: 1 Hotspots
  Iteration 2710: 1 Hotspots
  Iteration 2720: 1 Hotspots
